LOGIN_FAIL_SELLER, email=1,2025-06-04T12:35:36
LOGIN_SUCCESS_BUYER, buyerId=1,2025-06-04T12:35:55
VIEW_OPEN_AUCTIONS, buyerId=1,2025-06-04T12:36:06
VIEW_OWN_BIDS, buyerId=1,2025-06-04T12:36:29
LOGOUT_BUYER, buyerId=1,2025-06-04T12:36:48
LOGIN_SUCCESS_SELLER, sellerId=3,2025-06-04T12:37:36
CREATE_ITEM, itemId=6, sellerId=3,2025-06-04T12:38:10
VIEW_MY_ITEMS, sellerId=3,2025-06-04T12:38:38
CREATE_AUCTION, auctionId=3, sellerId=3,2025-06-04T12:41:50
VIEW_MY_AUCTIONS, sellerId=3,2025-06-04T12:42:05
LOGOUT_SELLER, sellerId=3,2025-06-04T12:43:07
LOGIN_SUCCESS_SELLER, sellerId=3,2025-06-04T16:20:06
VIEW_MY_AUCTIONS, sellerId=3,2025-06-04T16:20:11
LOGOUT_SELLER, sellerId=3,2025-06-04T16:21:39
LOGIN_SUCCESS_SELLER, sellerId=4,2025-06-04T16:22:16
VIEW_MY_AUCTIONS, sellerId=4,2025-06-04T16:22:23
LOGIN_SUCCESS_SELLER, sellerId=3,2025-06-04T17:33:27
LOGIN_FAIL_BUYER, email=rere,2025-11-14T00:27:35
LOGIN_SUCCESS_BUYER, buyerId=1,2025-11-14T00:28:45
VIEW_OPEN_AUCTIONS, buyerId=1,2025-11-14T00:28:50
VIEW_OWN_BIDS, buyerId=1,2025-11-14T00:29:20
LOGOUT_BUYER, buyerId=1,2025-11-14T00:29:32
